transport_mode,km_per_month,flights_per_year,electricity_kwh,energy_source,heating_type,diet_type,food_source,food_waste_level,waste_kg,recycling,shopping_spend,co2_monthly_kg,emission_tier
train,760.5,0,315.3,mixed,gas,omnivore,mixed,medium,31.0,some,153.5,437.75,moderate
train,310.9,0,146.5,mixed,electric,vegetarian,local,low,29.3,most,184.3,249.8,low
cycle,1015.8,2,316.6,mixed,electric,meat_heavy,mixed,medium,27.1,some,83.7,432.74,moderate
car_diesel,352.5,1,269.8,renewable,oil,omnivore,mixed,low,20.3,some,128.5,333.98,low
train,1002.6,0,316.3,renewable,electric,vegetarian,mixed,low,33.2,most,105.4,213.94,low
cycle,940.4,0,204.6,coal,electric,vegetarian,imported,medium,25.5,some,192.4,389.35,low
train,403.0,2,332.5,mixed,oil,omnivore,local,high,21.5,most,66.5,427.77,moderate
bus,248.8,4,411.7,mixed,gas,omnivore,local,low,14.0,most,87.8,414.21,moderate
bus,232.9,1,273.5,mixed,gas,omnivore,mixed,medium,32.6,most,117.9,449.14,moderate
bus,159.9,0,275.0,renewable,electric,omnivore,mixed,low,25.4,some,148.3,295.35,low
cycle,339.2,4,311.8,coal,electric,omnivore,mixed,high,21.9,most,108.1,590.71,high
car_petrol,304.3,2,304.6,mixed,electric,omnivore,mixed,high,13.2,some,72.3,415.24,moderate
bus,283.3,0,218.1,mixed,gas,meat_heavy,imported,high,29.9,most,42.2,510.68,moderate
bus,343.7,0,314.5,mixed,electric,omnivore,mixed,medium,39.6,some,324.3,500.72,moderate
car_diesel,142.9,1,139.4,renewable,electric,vegetarian,mixed,high,31.6,most,127.8,254.91,low
car_electric,450.7,1,129.0,mixed,none,vegetarian,local,medium,38.8,some,68.1,212.51,low
car_diesel,482.6,1,416.4,mixed,electric,meat_heavy,mixed,low,28.4,some,96.4,501.31,moderate
motorbike,503.2,0,361.1,mixed,gas,vegetarian,mixed,high,32.3,most,418.0,527.81,high
train,414.7,1,252.7,coal,none,vegetarian,local,medium,38.7,none,74.9,293.14,low
car_diesel,847.7,1,431.0,coal,gas,vegan,mixed,high,24.2,most,157.6,612.76,high
car_petrol,84.5,4,271.2,renewable,electric,vegetarian,imported,medium,19.3,most,37.4,248.79,low
train,495.3,3,269.5,coal,none,vegetarian,mixed,medium,29.2,some,230.9,436.51,moderate
car_petrol,265.4,0,74.6,coal,gas,omnivore,local,high,35.8,most,198.5,497.66,moderate
train,445.2,4,194.2,coal,electric,omnivore,mixed,high,30.9,some,100.1,528.22,high
car_petrol,409.1,2,174.8,renewable,oil,omnivore,local,medium,21.0,none,103.8,367.27,low
cycle,370.6,1,393.2,coal,electric,vegan,local,high,33.4,none,199.8,422.72,moderate
train,307.9,3,318.2,mixed,gas,meat_heavy,mixed,high,25.5,some,239.4,637.31,high
car_electric,210.4,6,391.6,coal,none,vegetarian,imported,medium,43.5,some,43.9,466.75,moderate
cycle,265.1,2,334.4,mixed,oil,omnivore,imported,high,24.9,some,106.3,577.55,high
car_diesel,415.2,4,375.0,coal,none,omnivore,mixed,low,24.4,some,113.6,506.96,moderate
car_petrol,279.9,2,302.7,mixed,electric,vegan,local,medium,23.4,most,42.3,285.76,low
cycle,205.2,6,120.7,mixed,gas,omnivore,mixed,medium,33.5,some,99.0,467.24,moderate
car_petrol,288.7,3,382.9,mixed,gas,vegetarian,local,low,36.3,most,209.5,470.04,moderate
car_petrol,656.9,4,88.3,mixed,none,meat_heavy,local,high,45.5,some,329.5,598.4,high
train,409.2,2,320.9,mixed,electric,omnivore,local,medium,37.9,some,172.5,456.18,moderate
car_electric,352.4,1,316.4,coal,electric,meat_heavy,local,medium,21.6,some,211.5,561.74,high
car_electric,744.1,2,419.3,renewable,gas,vegan,local,medium,36.6,most,42.1,212.04,low
car_electric,722.1,3,421.4,mixed,electric,omnivore,mixed,low,27.9,some,135.8,482.08,moderate
bus,216.1,0,287.0,coal,electric,omnivore,local,high,24.0,most,107.6,447.29,moderate
car_diesel,311.9,0,427.8,mixed,electric,vegan,local,medium,27.3,none,173.6,337.74,low
car_petrol,1181.8,0,176.9,mixed,none,omnivore,mixed,medium,24.6,none,32.9,483.9,moderate
car_petrol,240.6,0,162.9,renewable,electric,vegan,imported,medium,22.3,most,81.8,178.81,low
car_petrol,471.2,2,200.5,mixed,oil,omnivore,local,high,25.2,most,201.8,533.53,high
bus,320.2,0,192.7,mixed,oil,omnivore,mixed,medium,33.5,some,93.3,388.67,low
car_petrol,1020.2,1,337.4,mixed,gas,meat_heavy,local,high,22.9,none,58.4,643.06,high
cycle,567.4,1,370.9,coal,oil,omnivore,imported,medium,22.9,some,209.5,653.34,high
train,1422.1,1,270.8,mixed,electric,omnivore,mixed,high,18.8,some,63.3,416.79,moderate
train,501.7,0,316.9,renewable,oil,omnivore,mixed,high,34.5,some,166.5,344.4,low
bus,342.1,4,337.7,coal,electric,vegetarian,mixed,low,15.0,some,87.0,487.52,moderate
car_petrol,407.1,3,292.2,mixed,gas,vegan,mixed,medium,36.2,most,103.0,429.79,moderate
bus,337.0,0,359.8,mixed,oil,omnivore,mixed,low,34.9,some,89.1,395.55,low
cycle,124.6,6,355.9,mixed,gas,omnivore,local,medium,40.8,some,108.9,518.57,high
cycle,328.6,0,172.7,mixed,oil,omnivore,mixed,medium,25.2,some,90.7,379.8,low
bus,236.9,2,156.1,coal,none,omnivore,imported,low,34.7,most,91.6,365.79,low
train,253.1,3,292.9,mixed,gas,omnivore,imported,medium,26.4,some,43.0,462.67,moderate
bus,1236.2,3,252.3,renewable,oil,omnivore,mixed,high,39.2,none,368.4,597.78,high
car_petrol,444.4,4,175.1,renewable,electric,omnivore,local,high,3.8,most,64.3,365.09,low
car_petrol,311.6,1,274.3,renewable,oil,vegan,mixed,medium,42.4,most,262.5,301.78,low
motorbike,113.6,1,219.2,renewable,electric,meat_heavy,mixed,low,22.6,most,113.7,311.02,low
bus,208.1,3,290.6,coal,oil,omnivore,imported,medium,40.1,none,71.6,652.63,high
train,300.4,1,256.5,coal,gas,omnivore,local,medium,24.7,some,201.2,538.76,high
car_petrol,294.4,10,199.7,mixed,electric,omnivore,mixed,high,28.0,most,161.1,669.84,high
train,333.5,6,101.9,mixed,gas,meat_heavy,mixed,medium,27.7,most,182.3,606.31,high
cycle,454.6,3,220.0,coal,none,vegan,mixed,medium,28.8,some,82.4,285.45,low
car_petrol,268.7,0,254.9,mixed,electric,omnivore,mixed,medium,22.0,some,224.7,422.67,moderate
car_petrol,597.3,3,262.1,mixed,electric,vegetarian,imported,low,16.6,some,76.7,430.7,moderate
cycle,178.8,1,247.3,mixed,gas,meat_heavy,mixed,medium,39.4,none,125.1,492.38,moderate
car_diesel,499.7,1,226.0,mixed,none,omnivore,mixed,low,16.4,some,279.9,454.64,moderate
car_petrol,583.3,2,337.0,coal,gas,vegan,mixed,high,25.3,some,77.4,544.84,high
train,389.0,0,386.9,mixed,gas,vegetarian,imported,low,40.6,some,76.5,359.17,low
motorbike,300.3,3,157.7,renewable,electric,omnivore,mixed,low,43.7,most,34.9,296.63,low
car_petrol,246.3,0,189.7,mixed,electric,omnivore,mixed,medium,12.7,some,133.3,399.88,moderate
cycle,255.9,2,384.9,renewable,electric,vegetarian,mixed,medium,30.1,none,146.4,288.63,low
cycle,79.9,0,312.8,coal,electric,meat_heavy,mixed,high,2.0,some,90.1,548.67,high
car_petrol,279.5,1,318.3,renewable,electric,omnivore,mixed,medium,4.1,most,293.1,400.65,moderate
bus,369.3,6,163.7,mixed,electric,vegetarian,mixed,low,22.2,some,49.5,378.52,low
cycle,509.9,0,352.8,mixed,oil,omnivore,local,high,32.7,most,220.0,466.01,moderate
car_petrol,274.4,10,183.8,mixed,none,vegetarian,local,low,6.8,none,71.3,426.83,moderate
train,545.0,3,221.1,mixed,gas,vegetarian,mixed,high,42.4,some,59.3,407.65,moderate
car_petrol,144.8,2,371.9,mixed,electric,meat_heavy,mixed,low,27.0,some,27.3,448.71,moderate
car_petrol,448.0,0,350.7,renewable,gas,omnivore,imported,high,30.6,some,121.4,424.56,moderate
car_diesel,252.1,2,199.2,mixed,gas,omnivore,mixed,low,34.3,none,105.6,465.6,moderate
car_electric,526.4,1,314.5,mixed,none,meat_heavy,local,high,49.3,some,131.1,444.42,moderate
car_diesel,448.3,0,341.4,mixed,electric,vegetarian,local,high,13.3,most,103.2,370.2,low
bus,278.9,0,177.5,coal,electric,vegetarian,local,medium,35.3,none,154.3,353.85,low
car_petrol,1046.3,10,468.3,mixed,electric,omnivore,local,high,27.2,some,72.7,765.08,high
cycle,339.4,0,241.2,mixed,electric,omnivore,mixed,low,25.2,most,70.7,316.39,low
train,564.2,2,168.6,renewable,gas,meat_heavy,local,high,37.3,none,163.5,462.26,moderate
cycle,515.2,0,262.3,renewable,gas,vegan,mixed,high,40.5,some,63.1,166.71,low
bus,441.1,4,169.0,coal,oil,omnivore,local,high,13.6,none,151.4,581.41,high
car_petrol,484.4,1,365.4,mixed,gas,vegetarian,local,medium,31.0,some,97.6,471.09,moderate
motorbike,357.7,0,270.3,renewable,gas,meat_heavy,local,medium,14.5,some,79.9,285.4,low
bus,802.5,0,164.5,renewable,oil,omnivore,mixed,low,16.8,none,221.4,362.6,low
car_petrol,192.1,0,307.6,renewable,none,vegetarian,mixed,medium,44.9,none,40.5,225.09,low
car_electric,866.3,2,444.8,renewable,gas,omnivore,mixed,low,41.7,some,34.3,304.49,low
bus,234.8,0,317.3,coal,gas,vegan,mixed,medium,15.7,none,84.8,382.22,low
cycle,1093.3,0,212.5,coal,electric,vegan,local,high,27.7,some,75.8,279.36,low
bus,307.7,0,274.8,coal,electric,vegan,local,medium,48.9,most,246.8,396.31,low
bus,184.6,3,206.5,renewable,oil,omnivore,mixed,low,27.7,some,100.3,308.01,low
car_petrol,533.3,0,270.5,mixed,electric,omnivore,mixed,high,17.1,most,153.3,505.67,moderate
bus,485.9,2,113.4,renewable,gas,meat_heavy,local,medium,31.3,some,61.7,353.59,low
bus,366.9,2,247.5,renewable,electric,meat_heavy,mixed,medium,27.7,some,138.9,403.44,moderate
car_diesel,269.9,0,205.6,mixed,none,omnivore,mixed,medium,41.3,most,140.7,352.79,low
car_petrol,692.6,2,272.1,coal,gas,omnivore,mixed,low,38.6,most,278.1,652.88,high
train,266.3,10,272.6,renewable,oil,omnivore,mixed,high,16.6,none,190.2,535.84,high
car_petrol,1064.0,3,172.5,mixed,gas,omnivore,mixed,high,34.5,some,174.9,715.26,high
car_petrol,351.0,0,214.9,coal,electric,meat_heavy,local,medium,28.9,none,31.0,490.57,moderate
cycle,399.3,2,272.6,renewable,electric,omnivore,local,medium,23.1,some,110.7,265.12,low
bus,312.9,2,194.3,mixed,oil,omnivore,imported,medium,19.8,most,105.1,453.73,moderate
car_petrol,214.6,0,170.3,mixed,gas,omnivore,imported,high,10.4,none,124.2,484.48,moderate
car_petrol,726.3,2,263.1,mixed,oil,meat_heavy,local,high,19.1,some,94.4,658.42,high
cycle,447.6,4,123.2,coal,electric,omnivore,mixed,medium,23.0,most,123.6,431.78,moderate
bus,1148.5,2,368.6,renewable,none,vegetarian,mixed,low,32.3,most,133.5,331.09,low
car_electric,302.2,4,77.1,mixed,gas,omnivore,mixed,medium,34.6,none,51.7,449.77,moderate
train,1092.7,3,323.9,mixed,none,meat_heavy,mixed,low,44.7,some,349.2,579.35,high
car_petrol,400.3,0,280.0,renewable,gas,omnivore,local,high,31.3,some,297.8,437.87,moderate
motorbike,548.0,0,310.1,renewable,gas,vegetarian,mixed,low,42.4,most,136.3,250.87,low
train,525.6,0,62.6,renewable,oil,omnivore,mixed,medium,41.5,most,252.2,344.49,low
car_petrol,286.5,1,246.1,mixed,gas,vegan,local,high,37.0,some,99.9,363.43,low
car_petrol,688.8,2,359.0,mixed,electric,vegetarian,mixed,low,36.0,none,119.5,506.85,moderate
car_electric,511.7,1,258.5,mixed,gas,meat_heavy,local,medium,33.6,none,144.4,486.05,moderate
train,291.3,6,329.3,coal,none,meat_heavy,imported,medium,38.9,most,85.5,638.27,high
bus,223.6,3,378.9,coal,gas,omnivore,mixed,low,29.9,most,63.3,540.25,high
car_petrol,801.0,4,200.4,mixed,oil,vegetarian,mixed,high,28.5,most,196.6,637.76,high
bus,123.2,0,324.9,mixed,gas,meat_heavy,mixed,high,41.9,most,77.3,546.94,high
car_petrol,911.4,4,208.8,renewable,electric,omnivore,mixed,medium,29.6,most,134.2,549.49,high
bus,863.3,0,364.5,mixed,gas,omnivore,mixed,medium,32.0,most,174.3,498.82,moderate
train,795.0,1,296.2,coal,oil,vegetarian,mixed,medium,30.5,most,118.8,488.55,moderate
car_petrol,496.5,0,353.6,renewable,oil,omnivore,imported,high,37.2,most,200.0,472.56,moderate
motorbike,573.0,10,252.8,coal,electric,omnivore,local,high,28.6,most,100.5,679.4,high
train,344.6,3,162.9,coal,oil,vegan,mixed,low,24.4,some,19.7,349.31,low
cycle,631.4,1,329.4,mixed,gas,meat_heavy,mixed,low,33.7,none,46.7,471.09,moderate
train,276.7,6,118.3,mixed,oil,omnivore,imported,low,40.5,none,79.8,532.88,high
cycle,131.3,1,191.1,coal,electric,omnivore,mixed,medium,34.3,some,163.0,429.44,moderate
motorbike,623.3,0,272.5,renewable,none,omnivore,imported,medium,8.0,some,88.1,313.87,low
bus,169.5,10,205.1,coal,gas,meat_heavy,mixed,high,10.4,most,156.6,814.72,high
car_diesel,413.3,1,295.1,mixed,none,vegan,mixed,medium,5.7,none,113.7,263.32,low
motorbike,433.4,1,309.3,renewable,none,vegetarian,mixed,medium,25.7,some,77.9,251.36,low
car_petrol,630.7,1,204.0,coal,none,vegetarian,mixed,medium,15.9,none,15.1,335.53,low
car_petrol,345.6,0,237.8,mixed,electric,meat_heavy,mixed,high,27.5,none,84.2,527.29,high
car_diesel,1119.2,0,277.2,mixed,gas,omnivore,imported,high,11.0,some,42.2,613.77,high
car_diesel,804.9,4,411.9,coal,electric,meat_heavy,local,medium,19.5,some,157.4,742.08,high
train,247.0,2,253.4,mixed,none,omnivore,imported,medium,27.2,most,59.7,351.34,low
car_petrol,1041.7,0,343.7,renewable,gas,omnivore,mixed,high,34.5,some,105.7,499.61,moderate
bus,386.9,0,274.7,renewable,oil,omnivore,mixed,low,29.0,most,67.5,286.86,low
bus,333.3,0,350.3,mixed,gas,vegetarian,local,medium,22.1,some,143.1,355.36,low
car_electric,527.6,0,213.2,mixed,gas,meat_heavy,imported,medium,37.8,none,60.9,553.26,high
car_petrol,636.2,0,308.7,coal,oil,vegetarian,mixed,medium,32.6,most,126.5,608.35,high
bus,750.8,4,267.3,mixed,gas,vegan,mixed,medium,12.9,some,92.1,400.86,moderate
train,567.3,2,303.2,renewable,none,omnivore,imported,low,13.9,most,97.1,291.67,low
bus,552.2,1,229.9,mixed,electric,omnivore,mixed,medium,15.8,some,75.6,398.49,low
car_diesel,627.6,0,380.4,mixed,electric,omnivore,imported,medium,26.9,none,86.5,526.72,high
bus,377.1,0,374.5,mixed,gas,omnivore,imported,low,28.5,some,64.1,480.42,moderate
cycle,667.7,2,138.1,mixed,electric,vegetarian,mixed,medium,28.8,some,76.1,286.96,low
car_petrol,312.9,4,312.9,mixed,gas,omnivore,imported,medium,17.2,some,386.4,731.6,high
car_petrol,701.9,4,320.3,coal,gas,vegetarian,mixed,medium,23.7,some,90.9,673.05,high
bus,120.3,2,278.4,mixed,none,omnivore,mixed,medium,24.4,most,253.7,431.3,moderate
bus,946.7,0,285.2,coal,gas,meat_heavy,mixed,medium,21.5,most,172.4,634.15,high
train,374.0,3,309.4,renewable,gas,vegan,mixed,high,27.1,none,110.1,275.23,low
car_petrol,367.0,1,129.8,coal,gas,omnivore,imported,medium,17.6,most,144.9,551.49,high
car_diesel,640.1,1,108.3,mixed,electric,vegan,local,high,43.1,some,74.0,322.03,low
car_petrol,914.6,1,207.7,coal,electric,omnivore,mixed,low,13.9,most,171.3,642.39,high
car_petrol,403.5,1,266.3,mixed,electric,vegetarian,mixed,medium,35.8,some,111.1,385.2,low
car_petrol,305.6,2,226.1,mixed,gas,meat_heavy,local,low,18.9,none,85.7,472.28,moderate
car_petrol,637.6,0,482.9,coal,electric,vegetarian,imported,low,36.9,none,202.9,599.69,high
train,800.8,1,157.5,mixed,gas,meat_heavy,imported,low,28.7,some,84.3,511.29,high
car_petrol,491.4,0,289.2,mixed,oil,vegetarian,local,high,29.2,some,88.3,413.8,moderate
train,384.6,2,291.0,mixed,oil,omnivore,local,high,46.2,some,173.2,511.99,high
bus,270.7,1,402.6,renewable,electric,vegetarian,imported,high,35.1,some,155.9,323.09,low
car_petrol,787.6,0,325.2,coal,oil,omnivore,mixed,medium,38.0,some,38.7,628.09,high
car_petrol,450.1,2,262.6,coal,electric,vegan,local,medium,47.3,most,69.0,453.2,moderate
bus,1032.1,1,214.1,mixed,oil,vegan,imported,high,32.0,most,44.4,356.97,low
bus,398.7,3,149.9,coal,none,vegetarian,imported,medium,26.5,most,63.1,332.88,low
train,146.4,3,215.0,mixed,gas,vegetarian,mixed,low,48.0,none,220.7,445.81,moderate
train,97.2,6,107.0,coal,gas,omnivore,local,high,2.0,most,260.8,605.59,high
car_petrol,393.8,2,109.2,mixed,gas,omnivore,mixed,low,30.2,some,134.4,486.11,moderate
car_petrol,598.7,6,496.9,mixed,gas,meat_heavy,local,medium,27.9,some,402.1,816.72,high
car_diesel,443.1,4,313.3,mixed,electric,meat_heavy,mixed,high,24.3,most,164.6,622.3,high
train,313.4,4,101.2,mixed,electric,omnivore,imported,medium,28.7,none,154.1,488.21,moderate
car_petrol,420.6,6,360.7,mixed,oil,vegetarian,mixed,high,14.6,some,94.4,528.32,high
car_petrol,256.5,0,394.9,mixed,electric,vegan,mixed,high,30.8,most,174.5,350.86,low
bus,901.7,6,238.6,mixed,gas,meat_heavy,imported,medium,31.3,some,222.9,787.06,high
car_diesel,281.4,1,219.9,mixed,gas,vegetarian,mixed,low,36.3,most,263.9,413.27,moderate
bus,688.3,0,366.7,mixed,none,omnivore,mixed,medium,40.4,none,59.0,376.59,low
car_electric,546.2,3,429.5,mixed,gas,omnivore,mixed,medium,21.3,none,61.7,535.73,high
train,711.1,2,261.1,mixed,gas,meat_heavy,local,medium,48.2,most,163.0,531.43,high
motorbike,242.1,2,228.6,mixed,electric,omnivore,mixed,medium,29.6,most,119.8,413.52,moderate
motorbike,449.4,4,113.1,renewable,electric,omnivore,mixed,high,37.1,some,74.4,385.81,low
motorbike,538.0,3,250.1,coal,oil,meat_heavy,mixed,low,27.4,some,372.0,777.25,high
bus,399.6,3,299.6,coal,gas,meat_heavy,mixed,medium,20.4,most,320.3,765.74,high
train,452.8,0,185.9,mixed,none,omnivore,mixed,medium,24.5,none,178.6,314.76,low
car_petrol,487.9,0,244.1,mixed,gas,omnivore,mixed,low,39.0,none,178.0,500.39,moderate
car_electric,629.8,1,209.0,mixed,oil,vegan,mixed,high,23.9,some,108.3,350.21,low
car_petrol,708.8,3,331.3,mixed,electric,omnivore,local,low,30.6,none,40.4,496.32,moderate
car_petrol,272.3,2,364.7,mixed,electric,vegetarian,mixed,low,50.9,most,112.7,382.67,low
car_electric,627.8,2,174.0,coal,gas,vegetarian,mixed,low,38.8,some,278.8,509.99,moderate
car_diesel,554.5,3,344.8,renewable,gas,omnivore,mixed,high,36.3,none,105.2,483.79,moderate
motorbike,162.5,4,56.0,mixed,oil,vegan,mixed,medium,35.9,some,208.9,385.17,low
car_diesel,355.8,2,259.2,renewable,oil,vegetarian,mixed,medium,30.5,none,112.4,334.3,low
train,458.6,4,376.1,mixed,electric,omnivore,mixed,high,15.7,most,106.9,548.23,high
motorbike,338.9,1,324.0,mixed,gas,vegan,mixed,high,44.6,most,192.8,409.4,moderate
car_diesel,299.9,0,274.1,coal,electric,meat_heavy,imported,high,39.4,none,156.3,708.77,high
car_electric,541.7,2,104.9,mixed,electric,meat_heavy,local,medium,40.3,some,86.8,385.88,low
car_petrol,903.1,3,274.9,coal,gas,omnivore,mixed,medium,36.5,most,242.2,823.04,high
motorbike,755.0,10,298.0,coal,electric,vegetarian,mixed,low,41.2,some,210.7,682.67,high
bus,272.7,4,276.3,renewable,gas,vegetarian,mixed,high,10.8,none,61.3,307.37,low
cycle,928.6,1,321.1,renewable,gas,omnivore,mixed,medium,33.4,most,352.2,386.98,low
bus,477.8,0,303.6,mixed,gas,omnivore,mixed,medium,37.7,some,43.6,385.19,low
car_diesel,587.0,1,440.4,mixed,gas,omnivore,local,low,33.1,most,57.1,442.45,moderate
bus,220.0,1,292.6,renewable,gas,omnivore,mixed,high,21.8,some,193.6,388.2,low
cycle,584.1,0,191.4,coal,gas,vegetarian,local,medium,35.8,most,99.1,337.04,low
train,536.6,1,300.4,coal,gas,omnivore,mixed,low,32.3,some,105.6,512.93,high
car_diesel,500.4,0,321.9,mixed,gas,omnivore,mixed,low,21.0,most,83.4,407.8,moderate
bus,356.9,0,204.9,mixed,gas,vegetarian,mixed,medium,36.2,some,159.7,389.99,low
car_electric,272.2,2,322.1,coal,gas,vegan,mixed,low,28.5,some,57.8,401.83,moderate
car_petrol,484.3,0,159.9,mixed,oil,omnivore,mixed,medium,44.0,some,167.5,551.99,high
train,408.4,0,296.3,mixed,gas,vegetarian,mixed,medium,27.7,none,94.3,337.45,low
bus,341.6,1,143.7,mixed,gas,omnivore,mixed,high,36.2,none,67.2,471.33,moderate
car_petrol,1125.4,2,297.0,mixed,gas,meat_heavy,local,low,21.0,some,102.1,639.64,high
car_petrol,355.4,1,285.1,mixed,oil,omnivore,mixed,medium,24.4,none,136.2,541.4,high
car_electric,456.2,1,277.7,mixed,gas,vegetarian,imported,medium,6.9,most,102.3,374.91,low
bus,312.9,6,323.4,coal,electric,vegetarian,local,medium,30.5,none,86.0,541.84,high
car_diesel,382.7,1,401.6,coal,gas,meat_heavy,mixed,high,44.8,most,99.2,705.87,high
car_petrol,190.7,2,184.2,mixed,electric,vegan,local,medium,29.9,some,138.0,308.81,low
bus,346.1,0,191.9,mixed,gas,omnivore,mixed,low,18.4,some,313.6,438.46,moderate
cycle,298.3,0,136.6,mixed,gas,vegetarian,mixed,medium,31.6,some,254.0,341.75,low
car_electric,570.8,4,250.4,coal,electric,vegan,mixed,high,20.3,none,112.9,433.55,moderate
car_petrol,249.4,0,185.4,mixed,oil,omnivore,local,medium,21.8,none,169.1,412.3,moderate
motorbike,282.0,0,143.6,renewable,electric,meat_heavy,mixed,high,38.6,most,103.4,441.11,moderate
car_petrol,389.8,0,226.0,mixed,none,omnivore,mixed,high,23.1,most,360.8,489.96,moderate
bus,746.7,0,367.5,mixed,gas,meat_heavy,mixed,low,33.0,some,87.9,461.88,moderate
bus,186.6,1,361.0,mixed,electric,meat_heavy,mixed,high,24.6,none,85.4,534.23,high
car_petrol,638.2,2,92.1,mixed,gas,meat_heavy,imported,low,12.9,most,150.5,606.67,high
cycle,454.2,2,262.5,coal,oil,omnivore,local,high,16.0,some,36.5,496.48,moderate
car_petrol,637.0,0,295.7,mixed,gas,omnivore,local,medium,59.1,none,215.8,607.76,high
train,223.1,2,212.7,renewable,none,omnivore,mixed,high,18.8,none,474.3,471.35,moderate
car_petrol,838.8,4,217.0,coal,electric,meat_heavy,local,high,44.2,most,118.5,706.49,high
car_diesel,536.4,2,271.6,mixed,gas,vegetarian,local,low,39.0,none,65.4,455.14,moderate
train,648.6,0,182.9,coal,gas,meat_heavy,local,medium,36.9,most,100.8,502.53,moderate
motorbike,518.3,4,203.5,mixed,oil,meat_heavy,mixed,medium,25.7,none,60.3,548.85,high
car_diesel,648.8,3,369.1,renewable,gas,vegan,local,medium,41.3,some,130.8,354.99,low
train,503.5,0,69.0,coal,gas,omnivore,local,low,37.3,some,41.0,362.65,low
cycle,761.0,0,242.2,coal,electric,omnivore,mixed,medium,20.3,none,72.3,413.31,moderate
bus,523.6,6,235.8,mixed,none,vegan,mixed,high,37.4,some,57.0,345.68,low
bus,168.5,1,255.7,renewable,oil,omnivore,imported,medium,29.7,some,124.6,338.89,low
bus,262.5,1,196.9,mixed,electric,meat_heavy,imported,high,13.2,some,72.8,552.13,high
cycle,375.1,2,315.4,mixed,gas,omnivore,mixed,low,27.5,some,115.4,396.99,low
cycle,255.0,1,262.0,mixed,gas,meat_heavy,mixed,medium,32.8,most,193.8,493.32,moderate
car_electric,831.4,3,234.7,mixed,gas,omnivore,mixed,medium,27.5,some,162.2,494.52,moderate
motorbike,220.8,1,253.0,coal,gas,meat_heavy,mixed,low,31.8,some,88.7,557.64,high
car_diesel,1216.2,3,152.3,coal,gas,vegetarian,mixed,medium,28.8,none,144.4,653.87,high
train,1151.1,10,20.0,coal,electric,vegetarian,local,high,31.9,none,34.1,530.46,high
car_petrol,431.9,2,192.0,mixed,gas,omnivore,imported,medium,43.4,some,116.7,568.96,high
car_diesel,365.7,0,264.5,mixed,electric,omnivore,imported,high,27.8,most,81.4,475.52,moderate
car_petrol,566.3,2,221.6,mixed,gas,omnivore,mixed,high,17.5,none,39.3,520.69,high
train,818.8,0,158.8,coal,gas,meat_heavy,imported,high,20.8,some,95.0,662.62,high
motorbike,398.1,0,242.9,coal,gas,vegan,local,low,36.1,some,153.9,391.27,low
car_diesel,320.9,1,147.7,mixed,gas,omnivore,mixed,medium,35.5,most,161.8,462.61,moderate
cycle,320.9,1,428.9,coal,gas,omnivore,mixed,low,22.7,some,207.8,530.29,high
car_diesel,701.3,2,359.8,mixed,gas,omnivore,local,medium,19.0,some,285.7,599.02,high
cycle,204.8,3,158.4,mixed,electric,vegetarian,mixed,low,33.1,some,170.4,342.45,low
car_petrol,526.2,0,312.9,mixed,electric,vegetarian,mixed,high,11.5,most,145.8,426.44,moderate
car_diesel,693.7,0,197.0,mixed,gas,omnivore,imported,low,36.6,most,247.1,540.86,high
car_electric,352.0,0,340.8,mixed,gas,vegetarian,mixed,medium,24.3,some,208.4,414.83,moderate
bus,701.9,4,222.8,mixed,gas,omnivore,mixed,high,46.6,some,72.2,596.96,high
bus,169.2,10,289.6,coal,gas,omnivore,local,medium,29.9,some,275.4,766.35,high
cycle,366.9,0,178.2,mixed,electric,meat_heavy,mixed,medium,27.4,none,100.9,373.67,low
car_petrol,284.4,3,227.5,coal,oil,meat_heavy,mixed,medium,23.0,some,61.3,619.15,high
cycle,368.7,3,240.2,mixed,oil,omnivore,imported,high,26.7,some,264.1,689.82,high
car_petrol,450.7,1,128.2,mixed,gas,vegetarian,mixed,low,34.2,most,57.0,372.47,low
motorbike,699.0,3,134.6,mixed,none,omnivore,imported,low,40.8,some,69.5,396.1,low
bus,280.8,0,212.6,coal,none,meat_heavy,imported,medium,14.6,some,173.7,451.97,moderate
car_electric,428.8,1,280.8,mixed,gas,omnivore,imported,low,37.8,most,136.2,442.22,moderate
car_petrol,659.5,1,276.7,mixed,electric,vegan,local,low,37.4,none,102.9,389.73,low
bus,590.5,1,248.3,renewable,electric,omnivore,mixed,low,2.0,most,166.6,312.74,low
car_petrol,124.7,6,185.2,mixed,gas,vegetarian,mixed,medium,28.7,some,138.4,449.67,moderate
car_diesel,441.0,0,312.8,mixed,gas,omnivore,local,low,36.7,most,68.1,406.9,moderate
car_petrol,426.7,3,351.4,coal,electric,omnivore,mixed,high,18.3,none,187.3,674.59,high
car_petrol,893.6,2,379.2,mixed,electric,vegetarian,mixed,low,41.2,most,181.4,542.63,high
bus,306.5,2,338.7,mixed,electric,meat_heavy,mixed,medium,14.0,most,141.0,495.95,moderate
cycle,503.8,0,208.6,mixed,electric,vegetarian,mixed,medium,27.0,most,194.6,318.98,low
car_petrol,291.1,0,116.2,coal,electric,vegetarian,mixed,medium,32.9,most,106.6,362.97,low
cycle,271.1,3,258.1,renewable,electric,omnivore,mixed,medium,50.0,none,86.3,312.24,low
